Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2025-09-15,3157.423828125,3191.098282626442,3084.4958735596206,3122.354673041296,14259071,2025-09-15
2025-09-22,2888.32763671875,3095.355299981873,2880.5565712711505,3083.4996152328386,17347353,2025-09-22
2025-09-29,2891.116943359375,2918.4152756304243,2855.9483066510993,2905.164647487309,10215914,2025-09-29
2025-10-06,3017.04736328125,3058.5923640088854,2884.8405042067716,2891.2166255224056,21326275,2025-10-06
2025-10-13,2951.19287109375,3024.2205481979936,2932.1639897003965,3015.7521328925473,18386685,2025-10-13
2025-10-20,3063.199951171875,3098.0,2978.5,2985.5,11692759,2025-10-20
2025-10-27,3058.0,3094.199951171875,3025.10009765625,3066.5,12422090,2025-10-27
2025-11-03,2991.800048828125,3058.0,2960.5,3046.89990234375,9238838,2025-11-03
2025-11-10,3106.0,3136.39990234375,2992.0,2993.0,12775068,2025-11-10
2025-11-17,3150.60009765625,3170.0,3078.0,3106.0,14810060,2025-11-17
2025-11-24,3137.5,3180.0,3115.0,3158.0,16403134,2025-11-24
2025-12-01,3238.199951171875,3271.60009765625,3120.39990234375,3137.89990234375,18481680,2025-12-01
2025-12-08,3220.5,3259.89990234375,3153.10009765625,3243.0,9727383,2025-12-08
2025-12-15,3282.0,3317.89990234375,3191.10009765625,3211.10009765625,10883096,2025-12-15
2025-12-22,3280.0,3328.60009765625,3271.800048828125,3310.0,8718966,2025-12-22
