ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,diwali,diwali_lower,diwali_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-11-03,1106.3236734423776,1022.3041854194031,1189.0007476422597,1106.3236734423776,1106.3236734423776,3.612098815300834,3.612098815300834,3.612098815300834,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591349892,-0.9664435591349892,-0.9664435591349892,4.578542374435823,4.578542374435823,4.578542374435823,0.0,0.0,0.0,1109.9357722576785
2015-11-04,1106.38805470265,1024.5615979014444,1189.5938716449734,1106.38805470265,1106.38805470265,3.7062870655984677,3.7062870655984677,3.7062870655984677,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396632995,-0.5102600396632995,-0.5102600396632995,4.216547105261768,4.216547105261768,4.216547105261768,0.0,0.0,0.0,1110.0943417682483
2015-11-05,1106.4524359629227,1032.56854293036,1196.537149021862,1106.4524359629227,1106.4524359629227,3.9890194686998464,3.9890194686998464,3.9890194686998464,0.0,0.0,0.0,0.0,0.0,0.0,0.17589882908305948,0.17589882908305948,0.17589882908305948,3.8131206396167863,3.8131206396167863,3.8131206396167863,0.0,0.0,0.0,1110.4414554316224
2015-11-06,1106.5168172231947,1025.634725701983,1195.111098263801,1106.5168172231947,1106.5168172231947,1.749365206394762,1.749365206394762,1.749365206394762,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356207946,-1.6114527356207946,-1.6114527356207946,3.360817942015557,3.360817942015557,3.360817942015557,0.0,0.0,0.0,1108.2661824295894
2015-11-09,1106.709961004012,1022.2607495865823,1188.1760228570988,1106.709961004012,1106.709961004012,1.3638575005397737,1.3638575005397737,1.3638575005397737,0.0,0.0,0.0,0.0,0.0,0.0,-0.2922517001722827,-0.2922517001722827,-0.2922517001722827,1.6561092007120566,1.6561092007120566,1.6561092007120566,0.0,0.0,0.0,1108.0738185045518
2015-11-10,1106.7743422642845,1019.5061592355672,1185.0404268218053,1106.7743422642845,1106.7743422642845,-0.004552798001267216,-0.004552798001267216,-0.004552798001267216,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591393353,-0.9664435591393353,-0.9664435591393353,0.9618907611380682,0.9618907611380682,0.9618907611380682,0.0,0.0,0.0,1106.7697894662833
2015-11-13,1106.9674860451019,1025.6794255601108,1195.6944982413504,1106.9674860451019,1106.9674860451019,-3.0997518605456342,-3.0997518605456342,-3.0997518605456342,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356207633,-1.6114527356207633,-1.6114527356207633,-1.4882991249248712,-1.4882991249248712,-1.4882991249248712,0.0,0.0,0.0,1103.8677341845562
2015-11-16,1107.1606298259192,1020.0821578895926,1190.1191236963311,1107.1606298259192,1107.1606298259192,-4.663592903816418,-4.663592903816418,-4.663592903816418,0.0,0.0,0.0,0.0,0.0,0.0,-0.2922517001655566,-0.2922517001655566,-0.2922517001655566,-4.371341203650862,-4.371341203650862,-4.371341203650862,0.0,0.0,0.0,1102.4970369221028
2015-11-17,1107.2250110861914,1020.823927257551,1185.9436046589715,1107.2250110861914,1107.2250110861914,-6.351911563210548,-6.351911563210548,-6.351911563210548,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591334001,-0.9664435591334001,-0.9664435591334001,-5.385468004077148,-5.385468004077148,-5.385468004077148,0.0,0.0,0.0,1100.873099522981
2015-11-18,1107.289392346464,1020.0222026414585,1189.2185214459125,1107.289392346464,1107.289392346464,-6.9161272289964995,-6.9161272289964995,-6.9161272289964995,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396651685,-0.5102600396651685,-0.5102600396651685,-6.40586718933133,-6.40586718933133,-6.40586718933133,0.0,0.0,0.0,1100.3732651174676
